Symbol,Name,Profile,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
AAPL,Apple Inc.,GROWTH,STOCK,68.71,1.07x,17,3.24x,80,79.55x,89,0.38%,8,35.44%,87,26.49x,73,30.07x,72,1.64%,41,65.32%,82,34.84x,78,2.52x,1,47.92x,18,27.15%,100,Buy (1.92),76,141.47%,100,16.60%,97,0.92%,97
ABNB,"Airbnb, Inc.",GROWTH,STOCK,62.36,1.38x,47,4.21x,62,27.70x,93,N/A,N/A,21.03%,58,29.32x,1,24.38x,58,1.37%,40,88.72%,98,34.85x,40,1.32x,59,10.31x,0,20.51%,82,Buy (2.14),67,30.23%,100,12.00%,89,3.49%,91
ADBE,Adobe Inc.,GROWTH,STOCK,86.13,0.91x,8,2.67x,87,58.34x,99,N/A,N/A,38.92%,94,10.87x,97,9.72x,99,0.25%,34,87.10%,97,14.95x,99,0.71x,100,9.11x,95,29.48%,100,Buy (2.46),52,58.77%,100,12.00%,89,4.07%,88
ADI,"Analog Devices, Inc.",GROWTH,STOCK,68.42,1.76x,85,3.04x,82,25.75x,92,0.98%,14,46.43%,99,37.39x,31,31.07x,68,0.25%,34,93.22%,99,74.41x,0,1.03x,86,5.90x,97,23.02%,92,Buy (1.59),86,7.86%,14,30.40%,100,2.28%,94
ADP,"Automatic Data Processing, Inc.",GROWTH,STOCK,68.69,1.04x,15,3.69x,72,69.26x,95,3.28%,71,29.35%,61,13.68x,96,17.63x,97,0.16%,33,86.58%,97,19.99x,98,2.41x,2,13.51x,93,20.12%,80,Hold (2.83),34,71.21%,100,7.00%,64,3.91%,89
ADSK,"Autodesk, Inc.",GROWTH,STOCK,75.39,0.85x,6,2.49x,89,89.79x,80,N/A,N/A,26.45%,44,27.86x,69,17.80x,97,0.26%,34,96.22%,99,48.00x,28,0.95x,92,17.48x,89,15.60%,62,Strong Buy (1.42),89,39.67%,100,19.40%,99,2.45%,94
AEP,"American Electric Power Company, Inc.",GROWTH,STOCK,62.85,0.53x,1,5.52x,33,157.10x,78,2.87%,61,40.75%,96,13.58x,70,19.14x,81,0.02%,33,84.43%,97,19.49x,90,2.78x,0,2.29x,74,16.29%,65,Buy (2.00),73,12.58%,51,10.20%,82,3.34%,91
ALNY,"Alnylam Pharmaceuticals, Inc.",GROWTH,STOCK,62.50,3.13x,100,4.37x,59,276.20x,0,N/A,N/A,18.82%,63,48.91x,0,21.33x,73,0.19%,33,100.51%,99,74.54x,0,0.52x,96,36.72x,0,12.55%,50,Buy (1.79),80,90.36%,100,96.40%,100,5.03%,83
AMAT,"Applied Materials, Inc.",GROWTH,STOCK,62.53,2.71x,100,2.15x,91,33.11x,96,0.49%,9,31.51%,72,36.50x,34,29.18x,76,0.32%,34,85.03%,97,42.20x,51,2.04x,8,15.01x,91,27.78%,100,Buy (1.53),87,38.86%,100,-2.10%,11,1.72%,96
AMD,"Advanced Micro Devices, Inc.",GROWTH,STOCK,59.24,2.73x,100,1.08x,97,6.00x,76,N/A,N/A,19.84%,14,88.52x,0,31.87x,65,0.43%,35,72.33%,90,136.61x,0,1.25x,66,10.57x,95,13.37%,53,Strong Buy (1.50),88,8.06%,15,37.80%,100,2.20%,95
