Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
AAPL,Apple Inc.,STOCK,69.52,1.07x,17,3.24x,80,79.55x,89,0.39%,8,35.44%,87,25.79x,76,29.39x,75,1.64%,41,65.32%,82,33.92x,81,2.44x,1,46.71x,20,27.15%,100,Buy (1.88),77,141.47%,100,16.60%,97,0.92%,97
AMZN,"Amazon.com, Inc.",STOCK,62.92,1.18x,25,2.02x,92,47.49x,100,N/A,N/A,20.98%,57,18.94x,36,27.24x,43,8.94%,83,67.02%,84,32.05x,52,1.92x,13,7.00x,0,12.22%,49,Strong Buy (1.35),90,24.29%,99,16.60%,97,0.95%,97
AVGO,Broadcom Inc.,STOCK,76.23,1.90x,92,2.11x,92,82.70x,86,0.62%,10,54.51%,100,54.99x,2,23.25x,91,1.97%,43,79.70%,95,81.96x,0,0.91x,94,24.98x,76,36.57%,100,Strong Buy (1.28),92,33.37%,100,29.50%,100,1.18%,96
GOOG,Alphabet Inc.,STOCK,64.90,1.92x,93,2.10x,92,20.03x,88,0.23%,6,38.18%,100,28.59x,1,26.96x,45,6.62%,70,60.82%,74,29.23x,63,2.61x,1,11.16x,0,37.92%,100,Strong Buy (1.37),90,38.88%,100,21.80%,99,N/A,N/A
GOOGL,Alphabet Inc.,STOCK,65.30,1.92x,93,2.72x,86,20.03x,88,0.22%,6,38.18%,100,28.78x,1,27.13x,44,0.56%,35,80.79%,95,29.42x,63,2.63x,1,11.23x,0,37.92%,100,Strong Buy (1.36),90,38.88%,100,21.80%,99,1.34%,96
META,"Meta Platforms, Inc.",STOCK,85.73,2.35x,99,1.48x,95,35.61x,97,0.34%,7,50.85%,100,14.16x,79,16.83x,87,0.12%,33,78.46%,94,22.12x,85,1.00x,88,7.09x,0,32.84%,100,Strong Buy (1.36),90,32.93%,100,33.10%,100,1.21%,96
MSFT,Microsoft Corporation,STOCK,85.57,1.28x,36,2.53x,88,30.27x,95,0.88%,13,57.96%,100,16.95x,93,21.45x,93,0.08%,33,75.94%,93,24.70x,95,1.29x,62,7.88x,96,39.34%,100,Strong Buy (1.28),92,34.01%,100,18.30%,98,1.12%,97
NVDA,NVIDIA Corporation,STOCK,84.53,3.90x,100,1.68x,94,7.25x,78,0.02%,5,61.70%,100,35.81x,36,17.66x,97,4.21%,56,68.09%,86,40.50x,58,0.63x,99,30.66x,62,55.60%,100,Strong Buy (1.30),91,101.48%,100,73.20%,100,1.22%,96
TSLA,"Tesla, Inc.",STOCK,38.63,2.04x,96,1.07x,97,18.74x,87,N/A,N/A,11.33%,7,129.77x,0,154.15x,0,11.12%,93,44.66%,37,358.55x,0,5.25x,0,17.85x,0,3.95%,16,Buy (2.36),57,4.90%,5,15.80%,96,2.13%,95
WMT,Walmart Inc.,STOCK,32.95,0.79x,5,3.66x,73,64.44x,97,0.75%,11,6.17%,2,25.29x,0,40.09x,5,44.94%,1,38.80%,25,48.38x,0,4.94x,0,10.53x,0,3.07%,12,Strong Buy (1.45),89,21.85%,98,5.60%,54,1.56%,96
