Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
AAPL,Apple Inc.,STOCK,72.29,1.07x,17,3.24x,80,79.55x,89,0.38%,8,35.44%,87,24.98x,78,30.09x,72,1.64%,41,65.25%,82,35.79x,76,N/A,N/A,47.14x,19,27.15%,100,Buy (1.89),77,141.47%,100,16.60%,97,0.92%,97
AMZN,"Amazon.com, Inc.",STOCK,64.33,1.05x,15,2.02x,92,43.44x,99,N/A,N/A,20.33%,52,19.76x,29,27.44x,42,8.94%,83,67.07%,84,32.29x,51,N/A,N/A,7.04x,0,10.83%,43,Strong Buy (1.36),90,22.29%,98,13.60%,93,0.95%,97
AVGO,Broadcom Inc.,STOCK,71.74,1.90x,92,2.11x,92,82.70x,86,0.62%,10,54.51%,100,54.50x,2,23.27x,91,1.97%,43,79.69%,95,82.18x,0,0.87x,96,25.00x,76,36.57%,100,Strong Buy (1.28),92,33.37%,100,29.50%,100,1.18%,96
BRK-B,Berkshire Hathaway Inc.,STOCK,65.44,7.07x,100,2.33x,90,18.81x,87,N/A,N/A,29.77%,95,-2.12x,100,21.84x,71,0.27%,34,66.16%,83,15.31x,28,10.06x,0,0.00x,100,18.03%,72,Buy (1.75),81,9.81%,47,-0.70%,16,0.97%,97
GOOG,Alphabet Inc.,STOCK,66.46,2.00x,95,2.10x,92,16.13x,85,0.24%,7,37.28%,99,27.58x,2,28.28x,38,6.64%,71,61.00%,75,29.20x,64,N/A,N/A,11.14x,0,32.81%,100,Strong Buy (1.39),90,35.71%,100,18.00%,98,N/A,N/A
GOOGL,Alphabet Inc.,STOCK,67.14,2.00x,95,2.72x,86,16.13x,85,0.24%,7,37.28%,99,27.79x,2,28.54x,37,0.56%,35,80.80%,95,29.43x,63,N/A,N/A,11.24x,0,32.81%,100,Strong Buy (1.39),90,35.71%,100,18.00%,98,1.34%,96
META,"Meta Platforms, Inc.",STOCK,81.16,2.35x,99,1.48x,95,35.61x,97,0.34%,7,50.85%,100,14.24x,78,16.98x,87,0.12%,33,78.44%,94,22.36x,85,N/A,N/A,7.15x,0,32.84%,100,Strong Buy (1.35),90,32.93%,100,33.10%,100,1.21%,96
MSFT,Microsoft Corporation,STOCK,85.32,1.28x,36,2.53x,88,30.27x,95,0.89%,13,57.96%,100,16.68x,93,21.49x,93,0.08%,33,75.93%,93,24.66x,95,N/A,N/A,7.87x,96,39.34%,100,Strong Buy (1.29),92,34.01%,100,18.30%,98,1.12%,97
NVDA,NVIDIA Corporation,STOCK,79.43,3.90x,100,1.68x,94,7.25x,78,0.02%,5,61.70%,100,36.02x,36,17.78x,97,4.21%,56,68.08%,86,40.69x,58,0.76x,100,30.87x,62,55.60%,100,Strong Buy (1.30),91,101.48%,100,73.20%,100,1.22%,96
TSLA,"Tesla, Inc.",STOCK,37.61,2.04x,96,1.07x,97,18.74x,87,N/A,N/A,11.33%,7,126.66x,0,155.89x,0,11.12%,93,44.66%,37,356.06x,0,5.18x,0,18.05x,0,3.95%,16,Buy (2.33),58,4.90%,5,15.80%,96,2.13%,95
