Symbol,Name,Profile,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
CLF,Cleveland-Cliffs Inc.,GROWTH,STOCK,45.41,2.02x,95,5.01x,44,129.32x,42,N/A,N/A,0.97%,1,76.56x,0,23.01x,65,0.89%,37,81.99%,96,N/A,N/A,0.43x,90,1.04x,95,-6.44%,0,Hold (2.83),34,-18.60%,0,6.30%,59,14.87%,5
CMC,Commercial Metals Company,GROWTH,STOCK,65.95,2.38x,99,4.81x,49,81.61x,87,1.05%,15,12.62%,10,10.32x,94,10.29x,96,1.03%,38,93.51%,99,15.78x,94,13.13x,0,1.78x,86,6.02%,24,Buy (1.91),76,12.00%,45,21.50%,99,7.64%,60
HCC,"Warrior Met Coal, Inc.",GROWTH,STOCK,56.20,3.48x,100,4.78x,49,10.61x,81,0.36%,2,23.29%,55,13.52x,12,11.81x,95,2.05%,43,108.76%,100,33.66x,0,N/A,N/A,2.10x,79,9.34%,37,Buy (1.86),78,6.42%,8,54.00%,100,9.99%,34
LEU,Centrus Energy Corp.,GROWTH,STOCK,31.64,5.72x,100,5.75x,29,152.04x,24,N/A,N/A,7.56%,3,98.50x,0,51.90x,0,4.22%,56,90.51%,98,75.29x,0,2.87x,0,5.30x,3,13.40%,54,Buy (1.75),81,12.25%,48,4.90%,49,22.89%,0
MP,MP Materials Corp.,GROWTH,STOCK,53.15,7.30x,100,4.97x,45,43.25x,99,N/A,N/A,-13.14%,0,-328.71x,100,54.28x,0,19.61%,90,66.45%,83,N/A,N/A,N/A,N/A,6.20x,1,-31.18%,0,Strong Buy (1.20),93,-4.98%,0,70.00%,100,16.68%,2
NUE,Nucor Corporation,GROWTH,STOCK,57.69,2.90x,100,3.13x,81,31.59x,95,0.99%,5,14.50%,13,11.63x,32,14.43x,92,3.20%,50,78.94%,94,22.47x,12,5.21x,0,2.47x,69,6.82%,27,Buy (1.80),80,12.29%,48,21.30%,99,2.56%,94
RS,"Reliance, Inc.",GROWTH,STOCK,50.40,4.39x,100,2.94x,84,28.45x,94,1.35%,8,9.57%,5,14.53x,7,17.70x,85,0.46%,35,85.51%,97,24.05x,7,2.29x,3,2.65x,63,5.42%,22,Hold (2.62),44,11.33%,39,15.50%,96,2.35%,94
STLD,"Steel Dynamics, Inc.",GROWTH,STOCK,55.54,3.13x,100,3.53x,75,45.99x,100,0.87%,4,12.18%,8,16.07x,3,13.58x,93,6.59%,70,88.53%,98,24.94x,5,11.95x,0,3.77x,24,7.22%,29,Buy (2.00),73,15.25%,75,19.10%,98,3.57%,90
UEC,Uranium Energy Corp.,GROWTH,STOCK,41.96,28.73x,100,6.52x,17,0.13x,71,N/A,N/A,0.00%,0,-68.93x,100,-935.21x,100,1.77%,42,88.76%,98,N/A,N/A,1.37x,54,5.40x,3,0.00%,0,N/A,N/A,-7.12%,0,-59.40%,0,13.73%,9
USAR,"USA Rare Earth, Inc.",GROWTH,STOCK,55.86,10.16x,100,2.10x,92,0.60x,71,N/A,N/A,0.00%,0,-116.72x,100,-19.69x,100,15.87%,100,33.67%,17,N/A,N/A,N/A,N/A,7.93x,0,0.00%,0,Strong Buy (1.00),95,-107.16%,0,N/A,N/A,13.14%,11
