Symbol,Name,Asset Type,Total Score (%),Current Ratio (Value),Current Ratio (Strength %),Short Ratio (Value),Short Ratio (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Profit Margin (Value),Profit Margin (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Return on Equity (Value),Return on Equity (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Short % of Float (Value),Short % of Float (Strength %)
A,A,STOCK,71.68,2.07x,96,2.33x,90,51.39x,100,0.88%,13,27.90%,98,17.49x,43,17.57x,85,0.19%,33,92.90%,99,25.52x,46,1.21x,70,4.73x,7,18.26%,73,Buy (1.67),84,19.95%,95,7.00%,64,1.80%,95
AAPL,Apple Inc.,STOCK,68.70,0.97x,11,3.24x,80,102.63x,68,0.39%,8,35.10%,86,25.85x,75,28.62x,78,1.64%,41,65.22%,82,33.92x,81,2.44x,1,44.62x,24,27.04%,100,Buy (1.89),77,152.02%,100,15.70%,96,0.92%,97
ABBV,AbbVie Inc.,STOCK,71.39,0.67x,3,3.06x,82,N/A,N/A,3.51%,77,47.83%,100,14.09x,85,12.26x,95,0.12%,33,76.30%,93,83.64x,0,0.47x,93,-106.69x,100,6.91%,28,Buy (1.81),79,6225.00%,100,10.00%,81,1.37%,96
ABNB,"Airbnb, Inc.",STOCK,61.85,1.38x,47,4.21x,62,27.70x,93,N/A,N/A,21.03%,58,29.46x,1,24.46x,58,1.36%,39,87.06%,97,35.00x,40,1.34x,57,10.36x,0,20.51%,82,Buy (2.21),64,30.23%,100,12.00%,89,3.48%,91
ABT,Abbott Laboratories,STOCK,72.15,N/A,N/A,1.71x,94,26.79x,93,2.72%,56,26.92%,98,13.75x,87,15.30x,90,0.54%,35,82.00%,96,25.99x,43,1.35x,56,3.09x,47,13.90%,56,Buy (1.68),83,N/A,N/A,7.80%,70,1.40%,96
ACGL,Arch Capital Group Ltd.,STOCK,82.52,1.08x,17,3.38x,78,11.92x,82,N/A,N/A,27.71%,91,6.19x,99,9.57x,97,2.56%,46,94.26%,99,8.31x,99,1.05x,84,1.47x,86,22.07%,88,Buy (2.25),62,19.54%,100,8.50%,74,2.12%,95
ACN,Accenture plc,STOCK,75.86,1.34x,42,2.39x,89,25.47x,92,3.68%,80,17.66%,9,8.57x,98,11.87x,99,0.08%,33,82.83%,96,14.52x,99,1.38x,53,3.49x,98,10.61%,42,Buy (1.86),78,24.76%,99,8.30%,73,3.27%,91
ADBE,Adobe Inc.,STOCK,86.36,0.91x,8,2.67x,87,58.34x,99,N/A,N/A,38.92%,94,10.14x,98,9.07x,99,0.25%,34,87.89%,98,13.95x,99,0.70x,100,8.50x,96,29.48%,100,Buy (2.41),54,58.77%,100,12.00%,89,4.07%,88
ADI,"Analog Devices, Inc.",STOCK,69.53,1.76x,85,3.04x,82,25.75x,92,1.04%,15,46.43%,99,35.96x,36,29.86x,73,0.25%,34,93.18%,99,71.77x,1,0.99x,89,5.67x,97,23.02%,92,Buy (1.57),86,7.86%,14,30.40%,100,2.28%,94
ADM,Archer-Daniels-Midland Company,STOCK,43.19,1.36x,46,3.27x,79,42.38x,99,2.95%,63,3.14%,0,17.04x,10,14.50x,92,0.66%,36,88.08%,98,31.63x,0,0.89x,95,1.49x,90,1.34%,5,Hold (3.09),24,4.72%,5,-13.70%,0,3.70%,90
