Symbol,Name,Asset Type,Total Score (%),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Return on Equity (Value),Return on Equity (Strength %),Profit Margin (Value),Profit Margin (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Current Ratio (Value),Current Ratio (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Short % of Float (Value),Short % of Float (Strength %),Short Ratio (Value),Short Ratio (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %)
AAPL,Apple Inc.,STOCK,64.73,34.35x,80,28.98x,77,2.44x,1,45.19x,0,152.02%,100,27.04%,100,102.63x,68,0.97x,11,15.70%,96,1.64%,41,65.22%,82,0.38%,8,Buy (1.89),77,0.92%,97,3.24x,80,26.18x,82,35.10%,86
ABNB,"Airbnb, Inc.",STOCK,59.76,35.44x,38,24.77x,56,1.34x,57,10.49x,0,30.23%,100,20.51%,82,27.70x,93,1.38x,47,12.00%,89,1.36%,39,87.06%,97,N/A,N/A,Buy (2.21),64,3.48%,91,4.21x,62,29.87x,1,21.03%,58
ADBE,Adobe Inc.,STOCK,81.87,14.30x,99,9.30x,99,0.70x,100,8.72x,0,58.77%,100,29.48%,100,58.34x,99,0.91x,8,12.00%,89,0.25%,34,87.89%,98,N/A,N/A,Buy (2.41),54,4.07%,88,2.67x,87,10.40x,99,38.92%,94
ADI,"Analog Devices, Inc.",STOCK,59.99,73.05x,1,30.39x,71,0.99x,89,5.77x,2,7.86%,14,23.02%,92,25.75x,92,1.76x,85,30.40%,100,0.25%,34,93.18%,99,1.02%,15,Buy (1.57),86,2.28%,94,3.04x,82,36.59x,28,46.43%,99
ADP,"Automatic Data Processing, Inc.",STOCK,68.34,18.86x,98,16.43x,97,2.51x,1,12.39x,0,73.84%,100,19.96%,80,70.04x,95,1.03x,14,6.20%,59,0.16%,33,86.36%,97,3.46%,76,Hold (2.78),37,3.89%,89,3.69x,72,13.12x,99,29.17%,60
ADSK,"Autodesk, Inc.",STOCK,70.15,45.49x,38,16.84x,97,0.93x,93,16.53x,0,39.67%,100,15.60%,62,89.79x,80,0.85x,6,19.40%,99,0.26%,34,95.96%,99,N/A,N/A,Strong Buy (1.42),89,2.45%,94,2.49x,89,26.36x,81,26.45%,44
AEP,"American Electric Power Company, Inc.",STOCK,63.65,20.23x,89,19.59x,79,2.83x,0,2.34x,73,12.49%,50,16.36%,65,154.24x,79,0.46x,1,13.20%,92,0.02%,33,84.54%,97,2.82%,59,Buy (2.00),73,3.34%,91,5.52x,33,13.76x,68,40.94%,96
ALNY,"Alnylam Pharmaceuticals, Inc.",STOCK,52.34,131.70x,0,21.66x,71,0.61x,99,51.25x,0,73.28%,100,8.45%,34,376.19x,0,2.76x,100,84.90%,100,0.19%,33,100.95%,99,N/A,N/A,Buy (1.79),80,5.03%,83,4.37x,59,72.83x,0,15.00%,27
AMAT,"Applied Materials, Inc.",STOCK,61.12,42.74x,49,29.64x,74,1.99x,10,15.24x,0,38.86%,100,27.78%,100,33.11x,96,2.71x,100,-2.10%,11,0.32%,34,85.44%,97,0.51%,9,Buy (1.53),87,1.72%,96,2.15x,91,37.09x,25,31.51%,72
AMD,"Advanced Micro Devices, Inc.",STOCK,52.51,133.26x,0,31.59x,66,1.03x,86,9.00x,0,7.08%,11,12.52%,50,6.36x,77,2.85x,100,34.10%,100,0.43%,35,72.11%,90,N/A,N/A,Buy (1.57),86,2.20%,95,1.08x,97,83.10x,0,19.47%,13
