Symbol,Name,Asset Type,Total Score (%),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Return on Equity (Value),Return on Equity (Strength %),Profit Margin (Value),Profit Margin (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Current Ratio (Value),Current Ratio (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Short % of Float (Value),Short % of Float (Strength %),Short Ratio (Value),Short Ratio (Strength %),EV/EBITDA (Value),EV/EBITDA (Strength %),EBITDA Margin (Value),EBITDA Margin (Strength %)
CVX,Chevron Corporation,STOCK,48.15,27.94x,0,15.79x,3,1.14x,76,1.97x,82,7.23%,11,6.66%,27,24.32x,91,1.16x,23,-8.20%,2,7.03%,73,68.19%,86,3.84%,83,Buy (1.84),79,1.01%,97,1.40x,95,11.05x,10,20.38%,53
COP,ConocoPhillips,STOCK,57.99,19.14x,7,14.93x,5,1.20x,71,2.31x,73,12.36%,49,13.25%,53,37.83x,98,1.30x,38,-6.80%,3,0.13%,33,85.31%,97,2.76%,58,Buy (1.86),78,1.63%,96,1.93x,93,6.88x,80,40.08%,100
VZ,Verizon Communications Inc.,STOCK,71.94,11.42x,97,8.83x,97,1.14x,76,1.87x,84,17.07%,86,12.43%,50,174.78x,12,0.91x,8,2.00%,29,0.05%,33,69.34%,87,6.10%,99,Buy (2.24),62,2.15%,95,3.19x,80,7.25x,98,36.18%,99
MRK,"Merck & Co., Inc.",STOCK,73.87,15.37x,94,11.52x,95,3.42x,0,5.26x,3,36.88%,100,28.08%,100,95.96x,75,1.54x,66,5.00%,50,0.06%,33,81.35%,96,3.04%,65,Buy (1.83),79,1.11%,97,2.82x,85,10.74x,98,44.77%,100
KO,The Coca-Cola Company,STOCK,53.30,25.21x,4,22.19x,69,3.95x,0,10.25x,0,43.32%,100,27.34%,100,139.79x,33,1.46x,57,2.40%,32,9.89%,88,66.56%,84,2.69%,56,Buy (1.71),83,0.96%,97,2.76x,86,22.63x,0,33.54%,100
PEP,"PepsiCo, Inc.",STOCK,51.83,24.40x,7,16.98x,87,1.67x,27,9.94x,0,43.88%,100,9.15%,37,244.84x,1,0.90x,8,8.50%,74,0.20%,33,79.55%,95,3.66%,80,Hold (2.57),47,1.69%,96,3.31x,79,13.61x,57,19.59%,94
TXN,Texas Instruments Incorporated,STOCK,68.20,47.38x,31,30.33x,71,1.57x,35,15.03x,0,32.35%,100,29.11%,100,83.74x,85,4.46x,100,18.60%,98,0.29%,34,90.89%,98,2.05%,37,Buy (2.30),60,2.12%,95,2.98x,83,30.14x,64,46.99%,99
AMGN,Amgen Inc.,STOCK,58.56,24.21x,56,14.75x,91,2.27x,3,21.44x,0,106.10%,100,20.98%,84,640.27x,0,1.14x,22,8.60%,74,0.22%,34,85.24%,97,2.93%,62,Hold (2.51),49,2.37%,94,4.66x,52,13.96x,86,45.21%,100
PG,The Procter & Gamble Company,STOCK,58.35,21.92x,24,20.75x,75,4.07x,0,6.59x,1,31.12%,100,19.16%,77,67.65x,96,0.73x,4,7.40%,67,0.07%,33,70.21%,88,2.87%,61,Buy (2.04),71,1.18%,96,2.54x,88,14.70x,37,29.48%,100
ABT,Abbott Laboratories,STOCK,73.23,25.53x,46,15.03x,91,1.35x,56,3.04x,49,N/A,N/A,13.90%,56,26.79x,93,N/A,N/A,7.80%,70,0.54%,35,82.00%,96,2.77%,58,Buy (1.68),83,1.40%,96,1.71x,94,13.51x,89,26.92%,98
