Symbol,Name,Asset Type,Total Score (%),Trailing P/E Ratio (Value),Trailing P/E Ratio (Strength %),Forward P/E Ratio (Value),Forward P/E Ratio (Strength %),PEG Ratio (Value),PEG Ratio (Strength %),Price to Book (Value),Price to Book (Strength %),Return on Equity (Value),Return on Equity (Strength %),Profit Margin (Value),Profit Margin (Strength %),Debt to Equity (Value),Debt to Equity (Strength %),Current Ratio (Value),Current Ratio (Strength %),Revenue Growth (Value),Revenue Growth (Strength %),Insider Ownership (Value),Insider Ownership (Strength %),Institutional Ownership (Value),Institutional Ownership (Strength %),Dividend Yield (Value),Dividend Yield (Strength %),Analyst Recommendation (Value),Analyst Recommendation (Strength %),Share Change (1Y) (Value),Share Change (1Y) (Strength %),Share Change (3Y) (Value),Share Change (3Y) (Strength %),Short % of Float (Value),Short % of Float (Strength %),Short Ratio (Value),Short Ratio (Strength %)
NVDA,NVIDIA Corporation,STOCK,84.05,42.59x,50,18.53x,96,0.74x,100,32.18x,0,101.48%,100,55.60%,100,7.25x,78,3.90x,100,73.20%,100,4.21%,56,69.67%,87,0.02%,5,Strong Buy (1.29),92,-0.41%,83,N/A,N/A,1.22%,96,1.68x,94
AAPL,Apple Inc.,STOCK,67.56,34.35x,80,28.92x,77,2.44x,1,45.19x,0,152.02%,100,27.04%,100,102.63x,68,0.97x,11,15.70%,96,1.64%,41,65.22%,82,0.38%,8,Buy (1.89),77,-2.27%,96,N/A,N/A,0.92%,97,3.24x,80
MSFT,Microsoft Corporation,STOCK,79.97,26.59x,94,22.44x,92,1.34x,57,8.07x,0,34.39%,100,39.04%,100,31.54x,95,1.39x,48,16.70%,97,0.08%,33,75.88%,93,0.86%,13,Strong Buy (1.29),92,-0.11%,80,N/A,N/A,1.12%,97,2.53x,88
AMZN,"Amazon.com, Inc.",STOCK,62.53,36.77x,33,27.91x,40,1.91x,13,6.89x,0,22.29%,98,10.83%,43,43.44x,99,1.05x,15,13.60%,93,8.94%,83,67.04%,84,0.00%,5,Strong Buy (1.35),90,-3.77%,99,N/A,N/A,0.95%,97,2.02x,92
GOOGL,Alphabet Inc.,STOCK,69.70,31.86x,53,25.51x,53,2.36x,2,10.03x,0,35.71%,100,32.81%,100,16.13x,85,2.00x,95,18.00%,98,0.57%,35,80.66%,95,0.24%,7,Strong Buy (1.39),90,-52.46%,100,N/A,N/A,1.34%,96,2.72x,86
AVGO,Broadcom Inc.,STOCK,76.94,82.57x,0,23.33x,91,0.92x,93,25.07x,0,33.37%,100,36.57%,100,82.70x,86,1.90x,92,29.50%,100,1.97%,43,79.46%,95,0.62%,10,Strong Buy (1.28),92,0.70%,66,N/A,N/A,1.18%,96,2.11x,92
GOOG,Alphabet Inc.,STOCK,69.54,31.64x,54,25.36x,53,2.34x,2,9.96x,0,35.71%,100,32.81%,100,16.13x,85,2.00x,95,18.00%,98,6.64%,71,60.88%,74,0.25%,7,Strong Buy (1.39),90,-55.14%,100,N/A,N/A,N/A,N/A,2.10x,92
META,"Meta Platforms, Inc.",STOCK,83.02,28.74x,65,18.72x,82,1.10x,80,7.86x,0,30.24%,100,30.08%,100,39.16x,98,2.60x,100,23.80%,100,0.12%,33,78.34%,94,0.31%,7,Strong Buy (1.36),90,-13.33%,100,N/A,N/A,1.21%,96,1.48x,95
TSLA,"Tesla, Inc.",STOCK,40.66,345.23x,0,149.65x,0,5.14x,0,17.19x,0,4.90%,5,3.95%,16,18.74x,87,2.04x,96,15.80%,96,11.12%,93,44.64%,37,0.00%,5,Buy (2.34),58,16.60%,0,N/A,N/A,2.13%,95,1.07x,97
BRK-B,Berkshire Hathaway Inc.,STOCK,60.96,15.13x,95,21.58x,72,10.06x,0,0.00x,99,9.81%,26,18.03%,72,18.81x,87,7.07x,100,-0.70%,16,0.27%,34,66.13%,83,0.00%,5,Buy (1.75),81,-35.53%,100,N/A,N/A,0.97%,97,2.33x,90
